Work center1,Order,Material,Sales Order,Order Type,Description,MRP controller,Target quantity,Confirm.yield1,Balance1,Stor. Location,Bas. start date,Basic fin. date,System Status
BW03-TP,1954855,9170447501,,ZP01,FRAME BLACK PRINTED SILVER KRUPS NEW LOG,M50,"3,600.000","3,533.000",67.000,WD99,01/06/2022,01/10/2022,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC
BW01-SP1,1940417,9310508100,1500059236,ZP01,ASS'Y HEAD WITH ROCKER V2 COOL GREY DL A,M47,424.000,0.000,424.000,WI99,01/07/2022,01/13/2022,REL  MSPT PRC  CSER BCRQ MANC SETC
B04ME105,7004299,3011622600,,ZP06,COVER FOR TANK LED TRANSPARENT,M50,200.000,200.000,0.000,WF99,01/13/2022,01/14/2022,REL  MSPT CNF  DLV  PRC  BCRQ GMPS SETC
BW03-SA,1957472,9110264300,,ZP01,ASS'Y DRIP TRAY EDG305.BG,M50,"3,450.000","3,270.000",180.000,WF99,01/14/2022,01/17/2022,REL  MSPT PCNF PRC  BCRQ GMPS PDLV SETC
BW05-SAH,1963496,9110487100,,ZP01,ASS'Y HEAD 9781 BATAM,M47,"4,590.000","4,400.000",190.000,WA00,01/14/2022,01/14/2022,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC
B04MW238,1956486,3011416400,,ZP01,TANK OUTSIDE TRANSPARENT N.C NAS21,M43,"2,000.000","2,000.000",0.000,WF01,01/16/2022,01/18/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04MW238,1961526,3011416400,,ZP01,TANK OUTSIDE TRANSPARENT N.C NAS21,M43,"2,000.000","2,000.000",0.000,WF01,01/17/2022,01/19/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW01-UW,1962306,9110375901,,ZP01,ASSY WATER TANK Shiga 0.8L,M43,"1,000.000","1,000.000",0.000,WF99,01/17/2022,01/19/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW03-SA,1965895,9110481400,,ZP01,Assy. Handle metal sheet,M43,53.000,0.000,53.000,WF99,01/17/2022,01/18/2022,REL  MSPT PRC  BCRQ SETC
B04ME111,1965887,3011230600,,ZP01,CAPSULE HOLDER MAIN PART NCS S 2502-B,M43,"4,400.000","4,400.000",0.000,WF01,01/18/2022,01/20/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04-MD01,1956372,3011352901,,ZP01,F-CONNECTOR N.C.,M43,"9,000.000","9,000.000",0.000,WF99,01/18/2022,01/20/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
B04MW238,1961527,3011416400,,ZP01,TANK OUTSIDE TRANSPARENT N.C NAS21,M43,"2,000.000","2,000.000",0.000,WF01,01/18/2022,01/20/2022,REL  CNF  DLV  PRC  BCRQ GMPS MACM SETC
BW01-UW,1956056,9110105901,,ZP01,ASS'Y WATER TANK L125 FOR SP,M43,"4,000.000",0.000,"4,000.000",WF99,01/18/2022,01/20/2022,REL  MSPT PRC  BCRQ SETC
