Material,Description,Procurement,Base Unit,Material Type,Material Group,Matl Grp Desc.
0310035600,EXCENTRIC SET LEFT AND RIGHT BLACK,E,EA,ZCOM,031,Molding Set part
0310035601,EXCENTRIC SET LEFT AND RIGHT BLACK,E,EA,ZCOM,031,Molding Set part
0310099900,EXCENTRIC SET LEFT AND RIGHT BLACK FC115,E,EA,ZCOM,031,Molding Set part
0310103100,HSG SET LEFT & RIGHT 9781 JOY - WHITE,E,EA,ZCOM,031,Molding Set part
0310103200,HSG SET LEFT & RIGHT 9781 RIO - FER RED,F,EA,ZCOM,031,Molding Set part
0310103400,HSG SET LEFT & RIGHT 9781 RIO - WHITE,E,EA,ZCOM,031,Molding Set part
0310103500,HSG SET LEFT & RIGHT 9781 RIO - BLACK,F,EA,ZCOM,031,Molding Set part
0310103600,HSG SET LEFT & RIGHT 9781 JOY - DARK RED,F,EA,ZCOM,031,Molding Set part
0310103700,HSG SET LEFT & RIGHT 9781 JOY - BLACK,E,EA,ZCOM,031,Molding Set part
0310103800,EXCENTRIC SET LEFT& RIGHT BLACK FC1150L,E,EA,ZCOM,031,Molding Set part
0310103801,EXCENTRIC SET LEFT& RIGHT BLACK FC1150L,E,EA,ZCOM,031,Molding Set part
1010005200,MOTOR RK-370CA-18260,F,EA,ZRAW,101,Motor
1010020300,STEPPER MOTOR WITH ENCODER,F,EA,ZRAW,101,Motor
1020010900,MICROSWITCH,F,EA,ZRAW,102,Switch
1020014100,Micro Switch Huajie KW5-1Z With Level,F,EA,ZRAW,102,Switch
1020025600,VALVE SWITCH W/NEW MATERIAL (YS112B101),F,EA,ZRAW,102,Switch
1020031200,MICROSWITCH ANS,F,EA,ZRAW,102,Switch
1020032200,VALVE SWITCH WITH BENDED LEVER-YS119C005,F,EA,ZRAW,102,Switch
1020032400,VALVE SWITCH  (YS112B101) (BATAM),F,EA,ZRAW,102,Switch
1020034300,Micro Switch Huajie KW5 With Level,F,EA,ZRAW,102,Switch
1020038100,VALVE SWITCH YS112B307,F,EA,ZRAW,102,Switch
1030003100,PUMP ULKA TYPE EP5GW 100V CL.H 55W,F,EA,ZRAW,103,Pump
1030003101,PUMP ULKA EP5GW 100V CL.H/180 FUSE 4.0MM,F,EA,ZRAW,103,Pump
1030003200,PUMP ULKA TYPE EP5GW 120V CL.A 41W,F,EA,ZRAW,103,Pump
1030003300,PUMP ULKA TYPE EP5GW 120V CL.F/155 41W,F,EA,ZRAW,103,Pump
1030003301,PUMP ULKA EP5GW 120V CL.F/155 FUSE 4.0MM,F,EA,ZRAW,103,Pump
1030003400,PUMP ULKA TYPE EP5GW/W 230V CL.F 50Hz,F,EA,ZRAW,103,Pump
1030003401,PUMP ULKA 230V EP5GW CL.F/155 FOR FUSE 4,F,EA,ZRAW,103,Pump
1030003500,PUMP DEFOND P50 100V CL.F 53W,F,EA,ZRAW,103,Pump
1030003501,PUMP DEFOND P50 100V CL.F/155 FUSE 4.0MM,F,EA,ZRAW,103,Pump
1030003600,PUMP DEFOND P50 120V CL.F 60Hz,F,EA,ZRAW,103,Pump
1030003601,PUMP DEFOND P50 120V CL.F/155 FUSE 4.0MM,F,EA,ZRAW,103,Pump
1030003700,PUMP DEFOND P50 120V CL.H/180 53W,F,EA,ZRAW,103,Pump
1030003701,PUMP DEFOND P50 120V CL.H/180 FUSE 4.0MM,F,EA,ZRAW,103,Pump
1030003800,PUMP DEFOND P50 220-240V CL.H/180 53W,F,EA,ZRAW,103,Pump
1030003801,PUMP DEFOND 220~240V CL.H/180 FOR FUSE 4,F,EA,ZRAW,103,Pump
1030006600,ULKA PUMP EP5FMGW/SP 230V CLASS H 48W 4.,F,EA,ZRAW,103,Pump
1030006601,ULKA PUMP EP5FMGW/SP 230V CLASS H 48W 4.,F,EA,ZRAW,103,Pump
1030008400,PUMP ULKA TYPE EP5GW/W 230V(BATAM),F,EA,ZRAW,103,Pump
1030008500,PUMP DEFOND 230V (BATAM),F,EA,ZRAW,103,Pump
1030008700,Pump ULKA EP5FM SP W 120V UL,F,EA,ZRAW,103,Pump
1030008800,Pump ULKA EP5FM SP W 120V CB,F,EA,ZRAW,103,Pump
1030008900,Pump ULKA EP5FM SP W 100V,F,EA,ZRAW,103,Pump
1030010300,ARS MPP2.02.093.1/ST 100V~60Hz 23W,F,EA,ZRAW,103,Pump
1030010500,ULKA PUMP EP5FMGW/SP 127V CL H 63W 4.2mm,F,EA,ZRAW,103,Pump
1030010501,ULKA PUMP EP5FMGW/SP 127V CL H 63W 4.0mm,F,EA,ZRAW,103,Pump
1030011300,ULKA PUMP EP5FMGW/SP 100V CLASS H 60W 4.,F,EA,ZRAW,103,Pump
1030011301,ULKA PUMP EP5FMGW/SP 100V CLASS H 60W 4.,F,EA,ZRAW,103,Pump
1030011500,ARS MPP2.02.091.2/ST 220-240V~50/60Hz14W,F,EA,ZRAW,103,Pump
1030011900,PUMP DF PX50230V-B2P-006-R CL.H,F,EA,ZRAW,103,Pump
1030012300,PUMP DF PX50100V-B1P-007-R no JET CL.H,F,EA,ZRAW,103,Pump
1030012700,PUMP ULKA ?4.2 EP5FM 230V ST CL.H,F,EA,ZRAW,103,Pump
1030013800,ULKA,F,EA,ZRAW,103,Pump
1030013900,DEFOND,F,EA,ZRAW,103,Pump
1030014300,PUMP DEFOND PX50G 100V FUSE 4.2,F,EA,ZRAW,103,Pump
1030014400,PUMP DEFOND PX50G 127 FUSE 4.2,F,EA,ZRAW,103,Pump
1030014500,PUMP DEFOND PX50G 230V FUSE 4.2,F,EA,ZRAW,103,Pump
1030014700,WATER PUMP,F,EA,ZRAW,103,Pump
1030014800,Pump,F,EA,ZRAW,103,Pump
1030014900,PUMP DEFOND PX50G 100V FUSE 4.0,F,EA,ZRAW,103,Pump
1050002700,ASS'Y ELECTROMAGNET,F,EA,ZRAW,105,Valve
1050002900,ASS'Y ELECTROMAGNET(WISDOM),F,EA,ZRAW,105,Valve
1050003100,3-way valve JLT (P3T0701D),F,EA,ZRAW,105,Valve
1050003800,ASS'Y ELECTROMAGNET(KUK),F,EA,ZRAW,105,Valve
1050003900,ASS'Y ELECTROMAGNET(WISDOM),F,EA,ZRAW,105,Valve
1050006700,ASS'Y ELECTROMAGNET,F,EA,ZRAW,105,Valve
1050007000,ASS'Y ELECTROMAGNET FROM KUK,F,EA,ZRAW,105,Valve
1060000900,FAN 12VDC 40x40x10 WITH WIRE (EFS-04A12),F,EA,ZRAW,106,Fan
1060001600,FAN 12VDC 40x40 WITH WIRE (EFS-04A12),F,EA,ZRAW,106,Fan
1060001700,FAN 12VDC 40x40 WITH WIRE (AD0412MS-G70),F,EA,ZRAW,106,Fan
1070018200,HEATER 230V/1400W QRT,F,EA,ZRAW,107,Heating & Cooling El
1070029200,HEATER 230V,F,EA,ZRAW,107,Heating & Cooling El
1070031700,HEATER 127V/1400W QRT,F,EA,ZRAW,107,Heating & Cooling El
1070031900,HEATER 100V/1400W QRT,F,EA,ZRAW,107,Heating & Cooling El
1070032000,HEATER 110V/1400W QRT,F,EA,ZRAW,107,Heating & Cooling El
1070032100,HEATER 120V/1400W QRT,F,EA,ZRAW,107,Heating & Cooling El
1070036700,Boiler heater element 230V 1450W white,F,EA,ZRAW,107,Heating & Cooling El
1070037400,Boiler heater element  100V 1400W yellow,F,EA,ZRAW,107,Heating & Cooling El
1070041101,HEATER 230V 930W,F,EA,ZRAW,107,Heating & Cooling El
1070044700,HEATER 230V,F,EA,ZRAW,107,Heating & Cooling El
1080004900,REED CONTACTOR (HAMLIN),F,EA,ZRAW,108,Connector
1080005000,REED CONTACTOR (PIC),F,EA,ZRAW,108,Connector
1080005600,REED CONTACTOR HAMLIN 59600-746,F,EA,ZRAW,108,Connector
1080005800,BOTTOM PART WITH OTTER CP8 ADA,F,EA,ZRAW,108,Connector
1080007100,REED CONTACTOR (PIC) MS-214/911,F,EA,ZRAW,108,Connector
1080010200,REED CONTACTOR (HAMLIN) (BATAM),F,EA,ZRAW,108,Connector
1080010300,REED CONTACTOR (PIC) (BATAM),F,EA,ZRAW,108,Connector
1080010400,REED CONTACTOR (HSG V2) (PIC),F,EA,ZRAW,108,Connector
1080010500,REED CONTACTOR (HSG V2) (HAMLIN),F,EA,ZRAW,108,Connector
1080010800,REED CONTACTOR (HAMLIN) 9744R,F,EA,ZRAW,108,Connector
1080010900,REED CONTACTOR (PIC) 9744R,F,EA,ZRAW,108,Connector
1080011200,REED CONTACTOR (HAMLIN),F,EA,ZRAW,108,Connector
1080011300,REED CONTACTOR (PIC),F,EA,ZRAW,108,Connector
1080011900,Cable reed contact to main,F,EA,ZRAW,108,Connector
1190003200,NTC WIRE for Boiler,F,EA,ZRAW,119,NTC
1190003400,NTC WIRE for Boiler,F,EA,ZRAW,119,NTC
1190004200,NTC FOR WATER OUT,F,EA,ZRAW,119,NTC
1310000700,FLOW METER,F,EA,ZRAW,131,Flow Meter
1310000701,FLOW METER NEW,F,EA,ZRAW,131,Flow Meter
1310001100,FLOW METER PP 41001,F,EA,ZRAW,131,Flow Meter
1310001400,FLOW METER PP 68001 PLASTIBELL,F,EA,ZRAW,131,Flow Meter
1310001500,FLOW SENSOR NANO 93N 6211 1100 W/WIRE,F,EA,ZRAW,131,Flow Meter
1310001600,Flowmeter,F,EA,ZRAW,131,Flow Meter
1320004700,Magnet dia4*4mm,F,EA,ZRAW,132,Other electric compo
1320005500,Magnet dia5*3mm Ni-plated,F,EA,ZRAW,132,Other electric compo
1340003400,Power supply with wire TAMA 100V,F,EA,ZRAW,134,Plug/Adaptor
1340004000,POWER SUPPLY WITH WIRE SHIGA 100V,F,EA,ZRAW,134,Plug/Adaptor
1340004100,POWER SUPPLY WITH WIRE SHIGA 230V,F,EA,ZRAW,134,Plug/Adaptor
1340004200,POWER SUPPLY SHIGA US 120V,F,EA,ZRAW,134,Plug/Adaptor
1350022200,BUTTON PCB WITH WIRE,F,EA,ZRAW,135,PCB Assy
1350025100,MAIN PCB 230V SF1.4 TOPBAND,F,EA,ZRAW,135,PCB Assy
1350025101,MAIN PCB 230V HW1.2 SF1.5,F,EA,ZRAW,135,PCB Assy
1350055800,MAIN PCBA 230V INTRETECH,F,EA,ZRAW,135,PCB Assy
1350055900,HMI PCB INCL WITH WIRE,F,EA,ZRAW,135,PCB Assy
1350057800,MAIN PCB 230V HW1.2 SF1.5 (BATAM),F,EA,ZRAW,135,PCB Assy
1350057900,BUTTON PCB WITH WIRE (BATAM),F,EA,ZRAW,135,PCB Assy
1350059100,MAIN PCBA 230V ZHENBANG,F,EA,ZRAW,135,PCB Assy
1350059500,PCBA 120V Intretech WITHOUT PROTECTOR FO,F,EA,ZRAW,135,PCB Assy
1350059700,MAIN PCBA 100V Intretech FOR JP,F,EA,ZRAW,135,PCB Assy
1350059800,MAIN PCBA ZB 100V FOR JP,F,EA,ZRAW,135,PCB Assy
1350061400,PCBA 120V Intretech WITH PROTECTOR FOR 1,F,EA,ZSFG,135,PCB Assy
1350061500,PCBA 120V  WITH PROTECTOR FOR 120V US,F,EA,ZSFG,135,PCB Assy
1350061600,PCBA 100V Intretech WITH EU&US SW FOR TW,F,EA,ZSFG,135,PCB Assy
1350062301,MAIN PCB 230V FW11 FOR 9772,F,EA,ZRAW,135,PCB Assy
1350062401,MAIN PCB 127V FW11 FOR 9772,F,EA,ZRAW,135,PCB Assy
1350062700,HMI PCB WITH WIRE,F,EA,ZRAW,135,PCB Assy
1350065601,MAIN PCB 230V updad software,F,EA,ZRAW,135,PCB Assy
1350065700,BUTTON PCB WITH WIRE,F,EA,ZRAW,135,PCB Assy
1350067700,POSITION ENCODER WITH WIRE,F,EA,ZRAW,135,PCB Assy
1350067800,Capsule Holder Detection PCB,F,EA,ZRAW,135,PCB Assy
1350069800,MAIN PCB 230V 9744R.,F,EA,ZRAW,135,PCB Assy
1350069801,MAIN PCB 230V FW11 FOR 9744R,F,EA,ZRAW,135,PCB Assy
1350069900,BUTTON PCB WITH WIRE,F,EA,ZRAW,135,PCB Assy
1350070001,MAIN PCB 127V FW11 FOR 9744R.,F,EA,ZRAW,135,PCB Assy
1350070101,MAIN PCB 100V FW11 FOR 9744R.,F,EA,ZRAW,135,PCB Assy
1350070401,MMI PCBA ass'y,F,EA,ZRAW,135,PCB Assy
1350070500,MAIN PCBA with heat sink 230V,F,EA,ZRAW,135,PCB Assy
1350070900,MAIN PCBA 230V INTRETECH,F,EA,ZRAW,135,PCB Assy
1350070901,MAIN PCBA 230V INTRETECH XL,F,EA,ZCOM,135,PCB Assy
1350071000,MAIN PCBA 230V LOCAL SUPPLIER,F,EA,ZRAW,135,PCB Assy
1350071200,POWER BUTTON PCBA WITH WIRE,F,EA,ZRAW,135,PCB Assy
1350071300,FLOWMETER WIRE WITH PCBA,F,EA,ZRAW,135,PCB Assy
1350071400,MAIN PCBA with heat sink 100V,F,EA,ZRAW,135,PCB Assy
1350071901,MAIN PCB 120V FW11 FOR 9744R,F,EA,ZRAW,135,PCB Assy
1350072401,MAIN PCBA 120V FOR 127V IT WITHOUT C16,F,EA,ZRAW,135,PCB Assy
1350072402,MAIN PCBA 120V FOR 127V IT WITHOUT C16 X,F,EA,ZRAW,135,PCB Assy
1350072501,MAIN PCBA 120V FOR 127V SZ WITHOUT C16,F,EA,ZRAW,135,PCB Assy
1350072601,MAIN PCBA 100V INTRETECH WITHOUT C16,F,EA,ZRAW,135,PCB Assy
1350072602,MAIN PCBA 100V INTRETECH WITHOUT C16 XL,F,EA,ZRAW,135,PCB Assy
1350072701,MAIN PCBA 100V SZ WITHOUT C16,F,EA,ZRAW,135,PCB Assy
1350075400,HMI PCB WITH WIRE ZB,F,EA,ZRAW,135,PCB Assy
1350075600,MAIN PCB 230V SW10 HW06 BATAM,F,EA,ZRAW,135,PCB Assy
1350075601,MAIN PCB 230V FW11 FOR 9772 FOR BATAM,F,EA,ZRAW,135,PCB Assy
1350075700,MAIN PCBA 230V BATAM,F,EA,ZRAW,135,PCB Assy
1350076200,HMI PCB WITH WIRE BATAM,F,EA,ZRAW,135,PCB Assy
1350076500,HMI PCB WITH WIRE BATAM,F,EA,ZRAW,135,PCB Assy
1350080202,Main PCBA TAMA 2 w/BLE 100V (SP06),F,EA,ZRAW,135,PCB Assy
1350083700,9774 FLOWMETER WIRE PCB HONEYWEL SS360ST,F,EA,ZRAW,135,PCB Assy
1350086100,MAIN PCBA 110V BATAM,F,EA,ZCOM,135,PCB Assy
1350086400,1ain PCB 230V,F,EA,ZRAW,135,PCB Assy
1350088200,9663 MAIN PCBA (Freescale MCU) 230V,F,EA,ZRAW,135,PCB Assy
1350088300,9663 MAIN PCBA (Freescale MCU) 100V,F,EA,ZRAW,135,PCB Assy
1350088600,Main PCB 100V,F,EA,ZRAW,135,PCB Assy
1350088700,9774 FLOWMETER WIRE PCB HONEYWEL (BTM),F,EA,ZRAW,135,PCB Assy
1350091400,MAIN PCB 230V 9781 - SIIX,F,EA,ZRAW,135,PCB Assy
1350091700,MAIN PCB 120 / 127V 9781  ARIEL - SIXX,F,EA,ZCOM,135,PCB Assy
1350091800,MAIN PCB 100 / 110V 9781 ARIEL - SIIX,F,EA,ZCOM,135,PCB Assy
1350091900,MAIN PCB 230V 9781 - TOP BAND,F,EA,ZCOM,135,PCB Assy
1350091901,MAIN PCB 230V 9781-TB MOD MR SENSOR PAD,F,EA,ZCOM,135,PCB Assy
1350091902,MAIN PCBA 230V 9781-TB RENESAS MCU,F,EA,ZCOM,135,PCB Assy
1350092900,MAIN PCBA 120V 9781 TOP BAND,F,EA,ZCOM,135,PCB Assy
1350092901,MAIN PCBA 120V 9781-TB MOD MR SENSOR PAD,F,EA,ZCOM,135,PCB Assy
1350092902,MAIN PCBA 120V 9781-TB RENESAS MCU,F,EA,ZCOM,135,PCB Assy
1350093100,MAIN PCBA 100V 9781 TOP BAND,F,EA,ZCOM,135,PCB Assy
1350093101,MAIN PCBA 100V 9781-TB MOD MR SENSOR PAD,F,EA,ZCOM,135,PCB Assy
1350093102,MAIN PCBA 110V 9781-TB RENESAS MCU,F,EA,ZCOM,135,PCB Assy
1350093600,MAIN PCB 120 / 127V 9781  ARIEL,F,EA,ZRAW,135,PCB Assy
1350093700,MAIN PCB 100 / 110V 9781  ARIEL,F,EA,ZRAW,135,PCB Assy
1350093800,MAIN PCB 230V 9781-ZB,F,EA,ZRAW,135,PCB Assy
1350093801,MAIN PCB 230V 9781-ZB MOD MR SENSOR PAD,F,EA,ZRAW,135,PCB Assy
1350093900,MAIN PCB 120 / 127V 9781  ARIEL - ZB,F,EA,ZRAW,135,PCB Assy
1350093901,MAIN PCB 120 / 127V 9781 ARIEL-ZB MOD MR,F,EA,ZRAW,135,PCB Assy
1350094000,MAIN PCB 100 / 110V 9781 ARIEL - ZB,F,EA,ZRAW,135,PCB Assy
1350094001,MAIN PCB 100 / 110V 9781 ARIEL-ZB MOD MR,F,EA,ZRAW,135,PCB Assy
1350094100,PCBA 127V 9770.12-525,F,EA,ZRAW,135,PCB Assy
1350098400,ASM SPOUT PCBA 9603,F,EA,ZRAW,135,PCB Assy
1350098500,UI PCBA 9603,F,EA,ZRAW,135,PCB Assy
1350098600,POWER PCBA 9603,F,EA,ZRAW,135,PCB Assy
1350098700,FLEX PCBA 9603,F,EA,ZRAW,135,PCB Assy
1350099200,Main PCB 230V,F,EA,ZRAW,135,PCB Assy
1350099300,HMI PCB,F,EA,ZRAW,135,PCB Assy
1350101100,MAIN PCB 230V FW10 FOR 9744R,F,EA,ZRAW,135,PCB Assy
1350104700,9770 PCBA 100V JP Renesas MCU ZB,F,EA,ZRAW,135,PCB Assy
1350104800,9770 PCBA 110V TW Renesas MCU ZB,F,EA,ZRAW,135,PCB Assy
1350104900,9770 PCBA 127V BR-MX Renesas MCU ZB,F,EA,ZRAW,135,PCB Assy
1350105000,9770 PCBA 230V EU Renesas MCU ZB,F,EA,ZRAW,135,PCB Assy
1350105100,9770 PCBA 120V US Renesas MCU ZB,F,EA,ZRAW,135,PCB Assy
1350105200,9770 PCBA 100V JP Microchip MCU INTRTCH,F,EA,ZRAW,135,PCB Assy
1350105201,9770PCBA 100V R37 4.7kOhm JP MCU INTRTCH,F,EA,ZRAW,135,PCB Assy
1350105300,9770 PCBA 127V BR-MX Microchip MCU INTRT,F,EA,ZRAW,135,PCB Assy
1350105301,9770 PCBA 127V R37 4.7kOhm BR MCU INTRT,F,EA,ZRAW,135,PCB Assy
1350105400,9770 PCBA 110V TW Microchip MCU INTRTCH,F,EA,ZRAW,135,PCB Assy
1350105401,9770 PCBA 110V R37 4.7kOhm  MCU INTRTCH,F,EA,ZRAW,135,PCB Assy
1350105500,9770 PCBA 230V EU Microchip MCU INTRTCH,F,EA,ZRAW,135,PCB Assy
1350105501,9770PCBA 230V R37 4.7kOhm EU MCU INTRTCH,F,EA,ZRAW,135,PCB Assy
1350105600,9770 PCBA 120V US Microchip MCU INTRTCH,F,EA,ZRAW,135,PCB Assy
1350105601,9770PCBA 120V R37 4.7kOhm US MCU INTRTCH,F,EA,ZRAW,135,PCB Assy
1350105900,9770 PCBA 120V Genbyte W/O PROTECTOR R1.,F,EA,ZRAW,135,PCB Assy
2010072700,POWER CORD VDE CPL H05VV-F 3C 1.1M KENIC,F,EA,ZRAW,201,Cordset
2010072800,POWER CORD VDE CPL H05VV-F 3C 1.1M LY,F,EA,ZRAW,201,Cordset
2010092902,POWER CORD TW 2 POLE RED&BLACK,F,EA,ZRAW,201,Cordset
2010113504,POWER CORD PH CPL BLACK&RED LOGO CHANGE,F,EA,ZRAW,201,Cordset
2010115700,POWER CORD SEV CPL H05VV-F 3C 1.1M,F,EA,ZRAW,201,Cordset
2010115800,POWER CORD VDE CPL H05VV-F 3C 1.1M,F,EA,ZRAW,201,Cordset
2010115900,POWER CORD UK CPL H05VV-F 3C 1.1M,F,EA,ZRAW,201,Cordset
2010115901,POWER CORD UK CPL H05VV-F 3C 1.1M RED,F,EA,ZRAW,201,Cordset
2010115902,POWER CORD UK CPL H05VV-F 3C 1.1M RED wi,F,EA,ZRAW,201,Cordset
2010116903,POWER CORD CPL AU BLACK&RED LOGO CHANGE,F,EA,ZRAW,201,Cordset
2010117000,POWER CORD VDE CPL H05VV-F 3C 1.1M,F,EA,ZRAW,201,Cordset
2010117001,POWER CORD VDE CPL RED H05VV-F 3C 1.1M,F,EA,ZRAW,201,Cordset
2010117003,POWER CORD VDE CPL RED GLOSSY ACCENT,F,EA,ZRAW,201,Cordset
2010117004,9770 POWER CORD EU COMPACT PLUG LY,F,EA,ZRAW,201,Cordset
2010117005,9770 POWER CORD EU LY ROHS COMPLY,F,EA,ZCOM,201,Cordset
2010117103,POWER CARD AUS RED&BLACK,F,EA,ZRAW,201,Cordset
2010117104,POWER CORD AUS BLACK&RED LOGO CHANGE,F,EA,ZRAW,201,Cordset
2010117105,9770 POWER CORD AUS CPL LY NEW,F,EA,ZRAW,201,Cordset
2010117106,9770 POWER CORD AUS BLACK LY,F,EA,ZRAW,201,Cordset
2010117203,CH POWER CORD RED GLOSSY ACCENT,F,EA,ZRAW,201,Cordset
2010117204,9770 POWER CORD CH CPL LY NEW,F,EA,ZRAW,201,Cordset
2010117205,9770 POWER CORD CH LY LEAD<1000PPM,F,EA,ZCOM,201,Cordset
2010117300,POWER CORD UK CPL H05VV-F 3C 1.1M,F,EA,ZRAW,201,Cordset
2010117303,POWER CORD CPL UK RED GLOSSY ACCENT,F,EA,ZRAW,201,Cordset
2010117304,POWER CORD CPL UK LY ROHS COMPLY,F,EA,ZRAW,201,Cordset
2010117503,POWER CORD BR 2 POLE RED&BLACK,F,EA,ZRAW,201,Cordset
2010117504,POWER CORD 9770 BR  230V  BLACK CORD,F,EA,ZRAW,201,Cordset
2010117603,POWER CORD AR CPL RED GLOSSY ACCENT,F,EA,ZRAW,201,Cordset
2010117604,9770 POWER CORD AR CPL LY NEW,F,EA,ZRAW,201,Cordset
2010117700,POWER CORD MS CPL H05VV-F 3C 1.1M,F,EA,ZRAW,201,Cordset
2010117703,POWER CORD MS CPL RED ACCENT GLOSSY,F,EA,ZRAW,201,Cordset
2010117704,9770 POWER CORD SG CPL LY NEW,F,EA,ZRAW,201,Cordset
2010117803,POWER CORD KR CPL RED GLOSSY ACCENT,F,EA,ZRAW,201,Cordset
2010117804,9770 POWER CORD KR CPL LY NEW,F,EA,ZRAW,201,Cordset
2010117805,POWER CORD 9770 KR 230V  LY BLACK CORD,F,EA,ZRAW,201,Cordset
